,verb.stative,verb.emotion,verb.possession,verb.weather,verb.communication,verb.creation,verb.body,verb.motion,verb.perception,verb.consumption,verb.cognition,verb.contact,verb.competition,verb.social,verb.change
0,shake,recognize,hand,agree,fix,show,smile,ask,fill,growl,yell,fasten,flinch,celebrate,fry
1,lose,stand,find,answer,raise,play,laugh,reach,whip,begin,let,tug,make,dare,
2,study,fuss,clap,lean,speak,go,grin,roll,come,wait,snap,cry,,punish,
3,clutch,chortle,check,wonder,moan,repeat,blink,look,peer,scramble,snore,tear,,,
4,catch,scare,keep,,sigh,need,spit,gossip,pass,eat,dodge,pin,,,
5,call,straighten,dive,,bully,stomp,try,round,spot,,hope,chatter,,,
6,relax,cast,frown,,explain,mustache,,want,run,,believe,loll,,,
7,add,,flash,,test,win,,see,fight,,lurch,seize,,,
8,give,,save,,teach,have,,slip,break,,know,grope,,,
9,watch,,buy,,cheer,pull,,join,grab,,do,ignore,,,
10,rocket,,borrow,,shoot,speed,,tremble,seem,,bellow,,,,
11,get,,swap,,put,realize,,move,insist,,share,,,,
12,leave,,touch,,mutter,walk,,,glance,,take,,,,
13,spend,,own,,fall,accept,,,stare,,learn,,,,
14,appear,,award,,become,,,,jump,,help,,,,
15,overtake,,,,suspect,,,,throw,,stick,,,,
16,lie,,,,warn,,,,,,hear,,,,
17,favor,,,,stretch,,,,,,feel,,,,
18,tell,,,,enter,,,,,,sit,,,,
19,march,,,,whisper,,,,,,open,,,,
20,think,,,,beam,,,,,,turn,,,,
21,dangle,,,,sob,,,,,,gasp,,,,
22,point,,,,follow,,,,,,linger,,,,
23,,,,,say,,,,,,decide,,,,
24,,,,,urge,,,,,,dance,,,,
25,,,,,scream,,,,,,thump,,,,
26,,,,,talk,,,,,,,,,,
27,,,,,’,,,,,,,,,,
28,,,,,hang,,,,,,,,,,
29,,,,,notice,,,,,,,,,,
30,,,,,remember,,,,,,,,,,
31,,,,,betray,,,,,,,,,,
32,,,,,read,,,,,,,,,,
